date,symbol,entry/exit,qty,price
2025-07-30 04:00:00.428343-04:00,REPL,Entry,1048,4.22
2025-07-30 04:00:02.156272-04:00,IVF,SKIP,2084,1.98
2025-07-30 04:00:02.156476-04:00,SGD,SKIP,1844,2.3
2025-07-30 04:00:02.156157-04:00,CLDI,SKIP,6451,0.6565
2025-07-30 04:00:02.156217-04:00,MCVT,SKIP,586,6.85
2025-07-30 04:00:02.162192-04:00,IVF,SKIP,2084,1.98
2025-07-30 04:00:02.429435-04:00,DFLI,SKIP,11909,0.3513
2025-07-30 04:00:22.433799-04:00,ATNF,SKIP,1247,3.23
2025-07-30 04:00:32.437349-04:00,VWAV,SKIP,504,8.0
2025-07-30 04:00:34.436550-04:00,AIRE,SKIP,10390,0.39
2025-07-30 04:00:40.440233-04:00,MEIP,SKIP,695,5.78
2025-07-30 04:00:52.183565-04:00, REPL, Exit, 1048, 4.71
2025-07-30 04:01:00.442907-04:00,AMOD,SKIP,3200,1.29
2025-07-30 04:01:07.451754-04:00,PFSA,SKIP,4997,0.8301
2025-07-30 04:02:24.493104-04:00,SLRX,SKIP,3884,1.05
2025-07-30 04:05:52.513143-04:00,SOWG,SKIP,4000,1.02
2025-07-30 04:15:44.912216-04:00,TRUG,SKIP,693,5.99
2025-07-30 04:17:28.966352-04:00,LIDR,SKIP,1150,3.49
2025-07-30 04:53:51.881496-04:00,LMFA,SKIP,1870,2.16
2025-07-30 09:01:08.216916-04:00,YYAI,SKIP,1167,3.46
2025-07-30 09:32:25.962482-04:00,GCTK,SKIP,587,6.85
2025-07-30 09:40:11.136295-04:00,OCTO,SKIP,2532,1.5801
2025-07-30 09:43:51.218127-04:00,AIM,SKIP,1235,3.3
2025-07-30 09:45:20.253355-04:00,CYCC,SKIP,298,13.5454
2025-07-30 09:52:19.399099-04:00,GPRO,SKIP,2963,1.36
2025-07-30 10:16:52.939414-04:00,FFAI,SKIP,1633,2.455
2025-07-30 10:48:37.231362-04:00,AGH,SKIP,1819,2.21
2025-07-30 12:18:20.444648-04:00,SABS,SKIP,1674,2.44
2025-07-31 04:00:01.779778-04:00,BKKT,Entry,385,10.5
2025-07-31 04:00:03.779756-04:00,PFSA,SKIP,5250,0.7743
2025-07-31 04:01:11.799363-04:00,SLRX,SKIP,5163,0.7796
2025-07-31 04:02:12.826301-04:00,XXII,SKIP,1299,3.42
2025-07-31 04:02:50.845425-04:00,VYNE,SKIP,9441,0.4238
2025-07-31 04:04:02.880813-04:00,FGF,SKIP,225,17.99
2025-07-31 04:04:50.905567-04:00,LIDR,SKIP,1037,3.87
2025-07-31 04:10:00.071170-04:00,HCTI,SKIP,117648,0.0348
2025-07-31 04:45:09.214124-04:00,DFLI,SKIP,14755,0.275
2025-07-31 04:52:31.449442-04:00,ATNF,SKIP,1062,3.79
2025-07-31 05:07:45.755787-04:00,TRUG,SKIP,760,5.36
2025-07-31 07:46:19.160993-04:00,VWAV,SKIP,456,8.8
2025-07-31 08:00:01.884667-04:00,CLSD,SKIP,8506,0.4773
2025-07-31 08:00:02.004184-04:00,AGH,SKIP,1878,2.4255
2025-07-31 08:00:02.412947-04:00,AIM,SKIP,1270,3.18
2025-07-31 08:00:09.241101-04:00,KSS,SKIP,345,11.72
2025-07-31 08:00:25.131800-04:00,BKKT,Exit,385,9.88
2025-07-31 08:02:15.268401-04:00,CLDI,SKIP,6786,0.59
2025-07-31 08:03:58.291476-04:00,SOWG,SKIP,4000,1.01
2025-08-01 04:00:01.088883-04:00,FGF,ENTRY,201,20.79
2025-08-01 04:00:03.090068-04:00,LIDR,skip,1183,3.54
2025-08-01 04:00:08.091373-04:00,ATCH,skip,17921,0.2388
2025-08-01 04:00:27.095194-04:00,PFSA,skip,5559,0.72
2025-08-01 04:00:33.098537-04:00,SLRX,skip,6232,0.65
2025-08-01 04:00:44.100157-04:00,LRHC,skip,813,4.97
2025-08-01 04:01:07.106954-04:00,REPL,skip,572,7.0
2025-08-01 04:01:31.113054-04:00,ONCO,skip,1146,3.56
2025-08-01 04:01:38.114670-04:00,SGD,skip,2186,1.85
2025-08-01 04:02:06.123553-04:00,STAI,skip,6143,0.653
2025-08-01 04:02:21.128633-04:00,IVF,skip,2051,1.99
2025-08-01 04:02:41.136610-04:00,VYNE,skip,10707,0.3766
2025-08-01 04:05:04.267947-04:00,FGF,EXIT,201,17.01
2025-08-01 04:26:06.775607-04:00,AMOD,skip,3361,1.2
2025-08-01 04:49:06.541371-04:00,ATNF,skip,1078,3.89
2025-08-01 07:08:32.893312-04:00,ALBT,skip,2010,2.0
2025-08-01 07:37:35.668651-04:00,AGH,skip,1498,2.69
2025-08-04 04:00:02.004594-04:00,ATCH,ENTRY,22359,0.19
2025-08-04 04:00:03.005608-04:00,ATNF,skip,1176,3.55
2025-08-04 04:00:03.558437-04:00,TNFA,skip,37559,0.107
2025-08-04 04:00:03.558355-04:00,LIDR,skip,1347,3.0
2025-08-04 04:00:12.006895-04:00,MCVT,skip,816,4.91
2025-08-04 04:00:14.007799-04:00,TNON,skip,2778,1.46
2025-08-04 04:00:17.009379-04:00,XBP,skip,3922,1.05
2025-08-04 04:01:51.049343-04:00,FGF,skip,124,34.99
2025-08-04 04:02:04.042826-04:00,STAI,skip,6667,0.6137
2025-08-04 04:02:36.071287-04:00,CLDI,skip,6799,0.5903
2025-08-04 04:04:32.118388-04:00,VYNE,skip,10770,0.3749
2025-08-04 04:11:01.330345-04:00,XFOR,skip,2395,1.74
2025-08-04 04:19:22.586303-04:00,SLRX,skip,6062,0.6792
2025-08-04 04:21:54.622325-04:00,TRUG,skip,753,5.49
2025-08-04 04:24:23.693878-04:00,BKKT,skip,418,9.65
2025-08-04 04:39:36.153672-04:00,IVF,skip,2128,1.89
2025-08-04 04:52:03.570049-04:00,AIM,skip,1379,3.08
2025-08-04 06:10:34.674683-04:00,ALBT,skip,1762,2.29
2025-08-04 06:44:38.759674-04:00,SGD,skip,2703,1.53
2025-08-04 06:52:51.885174-04:00,HCTI,skip,717,5.65
2025-08-04 07:03:32.621760-04:00, ATCH, Exit, 22359, 0.2
2025-08-04 07:26:47.409754-04:00,AIRE,skip,10400,0.3876
2025-08-04 07:39:49.594653-04:00,SNGX,skip,1379,2.92
2025-08-04 08:00:22.822790-04:00,XXII,skip,1556,2.67
2025-08-04 08:00:34.768723-04:00,ONCO,skip,1156,3.47
2025-08-04 08:00:47.828369-04:00,VRME,skip,3252,1.25
2025-08-04 08:19:52.919223-04:00,EQ,skip,6343,0.6309
2025-08-04 08:37:47.654440-04:00,CLSD,skip,10101,0.3995
2025-08-04 09:30:04.334173-04:00,CYCC,skip,392,10.38
2025-08-04 09:34:38.442338-04:00,VWAV,skip,485,8.3
2025-08-04 09:35:02.451495-04:00,PFSA,skip,6671,0.5999
2025-08-04 09:37:33.503386-04:00,UAVS,skip,1980,2.025
2025-08-04 10:01:31.977595-04:00,LRHC,skip,816,4.9643
2025-08-04 10:02:25.955882-04:00,HWH,skip,2797,1.435
2025-08-04 10:19:38.436385-04:00,YYAI,skip,1093,3.68
